Layer,Name,GEOID,Population,Longitude,Latitude,POV_2020-2024,POV_2020-2024_se
,,,,,,"Poverty rate (% of residents), 2020-2024",(Standard error)
Census tract,Tract 101,17031010100,4905,-87.66983010,42.02125530,13.302416402245546,3.806022420443832
Census tract,Tract 102.01,17031010201,6939,-87.68014840,42.01600770,24.70076169749728,5.348417634785214
Census tract,Tract 102.02,17031010202,2742,-87.67332560,42.01604760,26.02552415679125,3.19819370075825
Census tract,Tract 103,17031010300,6305,-87.66653930,42.01594310,13.433647570703409,3.4430520318567637
Census tract,Tract 104,17031010400,5079,-87.65881570,42.00641090,10.971685971685972,3.0234860691580008
Census tract,Tract 105.01,17031010501,4206,-87.66395830,42.00941190,16.030123722431412,2.3355890208106596
Census tract,Tract 105.02,17031010502,3278,-87.66332730,42.00451730,18.2875605815832,3.466787231361831
Census tract,Tract 105.03,17031010503,2565,-87.66312620,42.00032070,41.74827711280377,6.316410652789089
Census tract,Tract 106,17031010600,6225,-87.66768300,42.00627740,16.330420969023034,4.448230611772231
Census tract,Tract 107.01,17031010701,3673,-87.67862040,42.00914820,10.322024151811386,2.9409851237996576
Census tract,Tract 107.02,17031010702,4776,-87.67272570,42.00901990,14.41251056635672,5.893244152821039
Census tract,Tract 201,17031020100,4202,-87.68711690,42.01572100,18.225534984371244,5.70698645619919
Census tract,Tract 202,17031020200,7128,-87.69951910,42.01569030,4.9966953073364175,1.4418553681084256
Census tract,Tract 203.01,17031020301,5261,-87.70518650,42.00686510,14.55314009661836,4.727385379586177
Census tract,Tract 203.02,17031020302,5010,-87.69496340,42.00854060,12.875900042354935,3.1791299791816283
Census tract,Tract 204,17031020400,4435,-87.68591180,42.00848800,13.934237755805931,3.8215749965067105
Census tract,Tract 205,17031020500,6599,-87.68419820,42.00131290,45.321591445195786,7.952604937448156
Census tract,Tract 206.01,17031020601,6699,-87.70180250,42.00087460,32.58337322482846,5.10155306875792
Census tract,Tract 206.02,17031020602,4662,-87.69363730,42.00131560,19.632414369256477,2.558592608736371
Census tract,Tract 207.01,17031020701,1879,-87.70368970,41.98689150,8.314479638009049,4.9775149932007725
Census tract,Tract 207.02,17031020702,7717,-87.70489390,41.99412560,15.638121898460364,4.064894369746845
Census tract,Tract 208.01,17031020801,5648,-87.69441490,41.98680810,8.195798949737435,2.2035560286394067
Census tract,Tract 208.02,17031020802,7546,-87.69463060,41.99405920,22.99261910087229,7.258515403978119
Census tract,Tract 209.01,17031020901,5848,-87.68547360,41.99439220,18.765984654731454,5.893882506267679
Census tract,Tract 209.02,17031020902,4488,-87.67868410,41.99425850,24.006668519033063,7.017178883702561
Census tract,Tract 301.01,17031030101,3687,-87.65487900,41.99105380,16.24466571834993,4.2645230178491005
Census tract,Tract 301.02,17031030102,3121,-87.65502250,41.99302640,24.80689245395128,6.333968597207182
Census tract,Tract 301.03,17031030103,2104,-87.65515270,41.99552410,25.426039536468988,6.3192866520531945
Census tract,Tract 301.04,17031030104,3521,-87.65598640,41.99727730,25.394235997824904,3.693094309417574
Census tract,Tract 302,17031030200,5627,-87.66523000,41.99444140,14.949879018320084,4.849710597420408
Census tract,Tract 303,17031030300,3148,-87.67253480,41.99438750,15.663058186738835,3.7463640206882785
Census tract,Tract 304,17031030400,2597,-87.67207880,41.98695150,14.653902798232696,5.6290668797479135
Census tract,Tract 305,17031030500,6183,-87.66493590,41.98722600,6.030701754385965,1.9429052379896397
Census tract,Tract 306.01,17031030601,3293,-87.65460870,41.98897160,18.63169280692266,2.92569352370678
Census tract,Tract 306.03,17031030603,2045,-87.65839790,41.98547620,26.115618661257606,9.047063348508878
Census tract,Tract 306.04,17031030604,3737,-87.65245460,41.98587070,21.38951431328401,4.724079585641379
Census tract,Tract 307.01,17031030701,1671,-87.65796590,41.98274530,27.21849366144668,5.145538408436587
Census tract,Tract 307.02,17031030702,2318,-87.65452860,41.98081480,20.74546346248161,4.720000286782342
Census tract,Tract 307.03,17031030703,3075,-87.65787080,41.97887490,19.833178869323447,4.687291710732846
Census tract,Tract 307.06,17031030706,2933,-87.65091550,41.98041510,8.906882591093117,2.5878125620055914
Census tract,Tract 308,17031030800,4284,-87.66418800,41.97991230,9.896768402154398,3.5246288832720194
Census tract,Tract 309,17031030900,2952,-87.67144540,41.97979510,5.432451751250893,1.8728000410193197
Census tract,Tract 310,17031031000,3868,-87.67110940,41.97243700,6.576354679802956,2.7407545692584283
Census tract,Tract 311,17031031100,4691,-87.66386620,41.97266840,9.754613668627051,2.928372159938287
Census tract,Tract 312,17031031200,5541,-87.65734100,41.97270920,34.41971383147854,6.715861300178145
Census tract,Tract 313,17031031300,6719,-87.64652980,41.97376460,19.97563946406821,4.383710432021866
Census tract,Tract 314,17031031400,5221,-87.64240950,41.95844750,4.387732258786658,1.4254497056996402
Census tract,Tract 315.01,17031031501,4155,-87.65243430,41.96728860,45.86513994910941,7.866120637251773
Census tract,Tract 315.02,17031031502,4712,-87.65236560,41.96363260,31.01436265709156,7.117562716746251
Census tract,Tract 317,17031031700,6294,-87.66319540,41.96544660,5.318039624608968,1.7667857138404068
Census tract,Tract 318,17031031800,1910,-87.67062090,41.96701140,13.654390934844193,6.378833066088477
Census tract,Tract 319,17031031900,2522,-87.67018410,41.96337400,4.258738449176376,1.404928030665868
Census tract,Tract 321,17031032100,7543,-87.65301790,41.95815380,15.87870434183322,3.150260046415875
Census tract,Tract 401,17031040100,3905,-87.68288560,41.98562230,3.92875851231011,1.6646200450705109
