Layer,Name,GEOID,Longitude,Latitude,HDX_2020-2024,HDX_2018-2022,HDX_2017-2021,HDX_2016-2020,HDX_2015-2019,HDX_2014-2018,HDX_2013-2017,HDX_2012-2016,HDX_2011-2015
,,,,,"Hardship Index (score), 2020-2024","Hardship Index (score), 2018-2022","Hardship Index (score), 2017-2021","Hardship Index (score), 2016-2020","Hardship Index (score), 2015-2019","Hardship Index (score), 2014-2018","Hardship Index (score), 2013-2017","Hardship Index (score), 2012-2016","Hardship Index (score), 2011-2015"
Community area,Rogers Park,1,-87.67017100,42.00963000,52.924703695294006,55.336730037272694,57.26775685171176,57.89386420019774,61.6305851835111,63.15550092921403,63.29008424940252,62.972504962864825,64.7416367498205
Community area,Norwood Park,10,-87.80345100,41.98524800,30.50422292942487,31.102262314013963,30.262204124469147,25.34650736101581,22.139738357645218,20.198605165625032,21.190029666942355,25.48356985322108,25.624613521521695
Community area,Jefferson Park,11,-87.77116500,41.97883600,30.91804574579658,39.5849664367373,38.064674176463406,33.29226955867544,38.30442404866452,35.78039854961554,34.43562647729831,38.28131134308272,47.04986654853203
Community area,Forest Glen,12,-87.75835800,41.99393800,15.92976996167712,15.674250067597521,15.9578682594819,17.68422993468667,16.69664744635914,19.601648877409705,17.68902283485613,17.079266817084157,16.56826079217267
Community area,North Park,13,-87.72357800,41.98365100,63.755760336475554,61.341883158580515,59.85920328103348,60.831705037271554,50.36472084137094,65.1601105463484,62.66633643220082,61.0602888441983,46.62442191748493
Community area,Albany Park,14,-87.72155800,41.96807800,57.55080244474001,59.73644527735276,63.94918196716457,63.531471715092,59.73690089520716,65.15039321987167,68.67006450757916,66.59574801729221,65.43636549092393
Community area,Portage Park,15,-87.76340100,41.95404300,46.918428280638786,48.74201149862754,48.185389991670434,47.32099736110319,48.10723749276251,49.657641485602426,50.511507031205625,52.0117580490912,51.97827722172277
Community area,Irving Park,16,-87.72345700,41.95358900,41.09838533241461,41.67633275788274,43.2304122886579,40.875091407211286,32.295482690965386,35.15320499740618,42.113569068099636,44.35039337801685,45.511834623669245
Community area,Dunning,17,-87.80601500,41.94652200,47.142306756433015,40.15279803184638,38.603519335249864,37.27470663326081,36.361128550784784,40.132748194516545,41.270084905863435,41.99417463760969,43.34329584831317
Community area,Montclare,18,-87.79803300,41.92930600,71.00501997849919,61.391293871046464,63.25227239208046,64.28240315053802,59.70596592982964,66.30653106009625,66.10103085183341,61.12014954292985,73.82064200321003
Community area,Belmont Cragin,19,-87.76550200,41.92727500,82.17155704088482,79.73523007376576,81.20895486329796,81.08104040102184,79.47284267284267,81.78447515862372,85.37115711529754,83.83635091073593,84.45093655093659
Community area,West Ridge,2,-87.69501700,42.00158300,76.07165815255526,72.50387105173567,72.11939144090735,70.038249827929,71.53376826753652,75.7344936144457,74.43556530745309,73.95403717476756,69.11976153952307
Community area,Hermosa,20,-87.73474100,41.92435300,77.96793524573552,79.64402816143773,76.03882292855698,76.05736413924865,77.54939624818874,81.00334197974017,83.13449549888173,84.85694178630453,84.69709149127446
Community area,Avondale,21,-87.71121900,41.93867300,41.348850715341776,37.66337320267422,40.529719616444396,46.35425134903182,50.03811096677678,56.03887354197361,59.91441190792503,65.51507026326843,68.03726236083654
Community area,Logan Square,22,-87.69914900,41.92276800,18.48488741807935,23.880272091570955,22.424673725632417,23.693098679381052,22.278132156264306,27.417902462010968,31.13506972549414,35.12659386205256,34.27222184444368
Community area,Humboldt Park,23,-87.72091700,41.90008000,82.76737663005562,79.56091114519865,80.18813434927266,83.21318865903176,86.82384509538038,89.02782787481735,89.34340533445788,90.06875089107399,90.8128136512546
Community area,West Town,24,-87.67635800,41.90121600,7.822825690390688,8.412592218183372,8.186775121629747,8.585468079164013,11.857672749745744,12.286984293772308,17.829848131543322,20.662366828164135,24.159782277169604
Community area,Austin,25,-87.76311700,41.89411300,85.46915078802289,84.19865691391081,82.12702889095583,82.66226654860259,76.46892918250428,83.28968997325997,84.7268115958211,85.10521898678383,82.39498596490179
Community area,West Garfield Park,26,-87.73023300,41.87860200,91.05035177099343,92.5689725810423,93.0931891079657,94.15760689108343,94.99249520000002,95.77750007800532,95.95884626786084,95.63158851366335,93.54104020000003
Community area,East Garfield Park,27,-87.70589200,41.87892300,92.15091871348717,89.86119284622683,92.3492356179838,93.83598065161868,93.20878664937305,94.03596286478766,92.13589038698893,89.68851030377407,91.30060111021886
Community area,Near West Side,28,-87.66351300,41.87401600,28.69022177702372,33.974137727374625,35.96526933074334,36.48694623517479,50.941104123312385,36.87327500871182,35.86240089823615,34.06573783451569,49.22382997148992
Community area,North Lawndale,29,-87.71721800,41.86019700,87.84718517115365,90.49524560375639,91.36519513694876,90.73349161400658,88.74929629437037,92.05990569753878,93.07434610584816,94.02255011408288,92.78934511476092
Community area,Uptown,3,-87.65589900,41.96582200,35.40665771312865,38.58874378860511,39.700797757401254,39.17206417311408,29.55120425602128,39.86604374110199,42.94992912875363,43.190019914245234,34.82262431312157
Community area,South Lawndale,30,-87.71400000,41.83909100,87.14971845215106,91.79951854741017,91.82277534020338,92.36724827258278,94.12451334513345,96.16395985990822,95.83379038873193,95.55133463432459,92.54362563625634
